image_id,file_name,ref1,ref2,ref3,ref4,ref5,baseline1_blip,baseline2_florence_raw,proposed_simple,proposed_detailed
397133,000000397133.jpg,A man is in a kitchen making pizzas.,Man in apron standing on front of oven with pans and bakeware,A baker is working in the kitchen rolling dough.,A person standing by a stove in a kitchen.,A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,there are two women in the kitchen preparing food on the counter,A man standing in a kitchen next to a counter with pots and pans.,Man in kitchen beside counter with cooking utensils and equipment.,"Man stands in kitchen beside counter stocked with cookware, preparing meal."
37777,000000037777.jpg,The dining table near the kitchen has a bowl of fruit on it.,A small kitchen has various appliances and a table.,The kitchen is clean and ready for us to see.,A kitchen and dining area decorated in white.,A kitchen that has a bowl of fruit on the table.,there is a bowl of oranges on a table in the kitchen,A kitchen with a table and chairs in it.,Kitchen table and chairs for dining and socializing.,Kitchen table and chairs sit in a residential room for dining and socializing.
252219,000000252219.jpg,a person with a shopping cart on a city street ,City dwellers walk by as a homeless man begs for cash.,People walking past a homeless man begging on a city street,a homeless man holding a cup and standing next to a shopping cart on a street,People are walking on the street by a homeless person.,these people are walking down the street in front of a blue building,A woman walking down the street with a shopping cart.,Woman pushing shopping cart down urban sidewalk.,Woman walks down urban street with shopping cart filled with items.
87038,000000087038.jpg,A person on a skateboard and bike at a skate park.,A man on a skateboard performs a trick at the skate park,A skateboarder jumps into the air as he performs a skateboard trick.,Athletes performing tricks on a BMX bicycle and a skateboard.,a man falls off his skateboard in a skate park.,there is a man on a skateboard doing a trick at a skate park,A man riding a bike on top of a skateboard in a parking lot.,Man rides bike on skateboard in parking lot.,Man rides bike on skateboard in a parking lot for recreational activity.
174482,000000174482.jpg,a blue bike parked on a side walk ,A bicycle is chained to a fixture on a city street,A blue bicycle sits on a sidewalk near a street.,A bicycle is locked up to a post,a bike sits parked next to a street ,there is a blue bicycle parked on the side of the street,A blue bike parked on the side of a street.,Bike parked on sidewalk with blue frame and wheels.,Blue bike parked on street side.
403385,000000403385.jpg,A bathroom that has a broken wall in the shower.,A bathroom looks clean but is missing tile at the shower stall.,A view of a bathroom that needs to be fixed up.,a shower toilet and sink in a basement bathroom,A very big whit rest room with a shabby looking shower.,"there is a bathroom with a toilet, sink and shower in it","A bathroom with a toilet, sink and shower in it.","Bathroom containing toilet, sink, and shower for personal hygiene.","Bathroom contains toilet, sink, and shower, providing hygiene facilities."
6818,000000006818.jpg,a couple of buckets in a white room,A bathroom with no toilets and a red and green bucket. ,"a shower room with two buckets, tolet paper holder and soap.",A standing toilet in a bathroom next to a window.,This picture looks like a janitors closet with buckets on the floor.,there is a small bathroom with a toilet and buckets in it,A bathroom with a toilet and a shower in it.,Toilet and shower in bathroom for personal hygiene.,Toilet and shower in a bathroom for personal hygiene.
480985,000000480985.jpg,The shiny motorcycle has been put on display.,The new motorcycle on display is very shiny.,A motorcycle is parked inside of a building.,A brand new motorcycle on display at a show.,The front end of a red motorcycle that is on display.,there is a motorcycle that is on display in a showroom,A motorcycle is on display at a motorcycle show.,Motorcycle on display for viewing at a trade show.,"Motorcycle on display at a trade show, promoting latest models and designs."
458054,000000458054.jpg,A row of white toilets sitting on top of a dirt ground.,A bunch of dirty looking white toilets in a row outside.,There is a row of used and broken toilets in a field.,A row of toilets with broken seat tops on the ground.,LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN,there are many toilets lined up on the side of the road,A row of toilets sitting next to each other on a dirt road.,Toilets lined up side by side for public use.,Toilets lined up beside each other on a dirt road.
331352,000000331352.jpg,A small closed toilet in a cramped space.,A tan toilet and sink combination in a small room.,This is an advanced toilet with a sink and control panel.,A close-up picture of a toilet with a fountain.,Off white toilet with a faucet and controls. ,this is an image of a bathroom with a toilet and a bidet,A white toilet sitting next to a sink in a bathroom.,Toilet next to sink in bathroom for hygiene and sanitation.,Toilet beside sink in a bathroom setting.
296649,000000296649.jpg,People are walking and riding motorcycles on the street,A group of motorists pass very large buildings in asia. ,A bunch of bikers are gathered on a city street. ,"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings",A view of motorcyclists riding their bikes through heavy city traffic.,pedestrians and motorcyclists on a busy city street with tall buildings,A group of people riding motorcycles down a street.,Motorcyclists traveling down a street in a group.,Motorcyclists ride along a city street surrounded by buildings.
386912,000000386912.jpg,a person sitting at a desk with a keyboard and monitor ,a woman at her desk sits intently and happy,A woman sitting at a desk in her work station,The woman is working on her computer at the desk.,a woman is sitting in front of a desk,there is a woman sitting at a desk in front of a computer,A woman sitting at a desk in front of a computer.,Woman working at desk with computer screen in front of her.,"Woman sits at desk in front of computer, working in office setting for productivity purposes."
502136,000000502136.jpg,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.",a building with dirty walls and dirty doors,a run down building with two planters outside the door,a yellow and brown wall a gray door and a sign ,A plaster external wall with multiple old paper images attached.,this is an old building with a door and a sign on it,A blue door in an old building with a plaque on it.,Historic door with informational plaque on old building facade.,Old building door with plaque displaying information.
